Echo Dot (3rd gen) - Smart speaker with Alexa - Charcoal,Amazon,Speaker,69.99,60,10%,"Our most popular Echo is now even better. With a new speaker and design, Echo Dot is a voice-controlled smart speaker with Alexa, perfect for any room. Just ask for music, news, information, and more. You can also call almost anyone and control compatible smart home devices with your voice."
Logitech Z150 2.0 Channel Computer Speaker System,Logitech,Speaker,19.99,100,5%,"Reliable and affordable, these compact speakers make it easy to listen to your music, movies and videos from multiple devices in clear, rich stereo sound. With two audio inputs, you can plug in your smartphone, tablet or laptop or even two of them at the same time. On-speaker volume and power plus a headphone jack make listening a pleasure, out loud or in total privacy. Hear the clarity: Two 2-inch high-clarity drivers deliver 6 watts of peak power and rich stereo sound loud enough for you to enjoy around your home."
Logitech Z623 2.1 Channel Computer Speaker System with Subwoofer and THX Sound,Logitech,Speaker,159.99,45,0%,Designed to deliver the most accurate experience straight out-of-the-box. These THX Certified speakers are tuned to exact specifications to truthfully deliver the artists vision right into your living room.
AMD Ryzen 5 2600X Processor with Wraith Spire Cooler - YD260XBCAFBOX,AMD,CPU,266.75,103,5%,"Ryzen 5 2600X is a 64-bit hexa-core mid-range performance x86 desktop microprocessor introduced by AMD in early 2018. Fabricated on GlobalFoundries 12 nm process based on the Zen+ microarchitecture, this processor operates at 3.6 GHz with a TDP of 95 W and a Boost frequency of up to 4.2 GHz. The 2600X supports up to 64 GiB of dual-channel DDR4-2933 memory."
AMD Ryzen 7 2700X Processor,AMD,CPU,399.99,30,5%,"Enhancing load times, boot times, file management and system responsiveness. True machine intelligence and accelerated system performance right at your fingertips. The power to overclock freely, unleashing the true potential of your processor. AMDs future-proof mainstream computing platform, updated with the new X470 and B450 chipsets."
Radeon RX 580 Graphics Card,AMD,Graphics Card,269.99,30,10%,"We have re-imagined everything a gaming card can do and made it more accessible. The 4th generation Graphics Core Next (GCN) architecture is engineered for gamers who play anything from the latest MOBAs to the most popular AAA titles. Asynchronous Shaders and an enhanced Geometry Engine power new levels of smooth gameplay performance. Get the next level of gaming immersion with the world of VR gaming and entertainment with Radeon RX graphics cards powered by the revolutionary Polaris architecture. Experience the latest premium technologies optimized around the revolutionary FinFET 14 technology that provides extraordinary performance and efficiency. Enjoy cool and quiet gaming, and leverage new possibilities with optimized levels of efficient headroom. Imagine the future upgrade capabilities with HDMI 2.0b and Display Port 1.3/1.4 features that can enable the latest generation of displays to deliver beautiful beyond-HD, HDR, and ultra-smooth FreeSync experiences."
ASUS ROG Strix B350-F ATX Motherboard,ASUS,Motherboard,168.99,30,0%,"Experience next-level performance with the ROG STRIX B350-F GAMING, powered by AMD Ryzen AM4 processors. Unlock your systems full potential with 5-Way Optimization featuring SafeSlot and Fan Xpert 4 while personalizing your build with AURA Sync RGB lighting. Integrated NVMe M.2, gigabit LAN and USB 3.1 deliver maximum connectivity speeds."
ASUS ROG Strix B450-F Gaming Motherboard (ATX) AMD Ryzen 2 AM4 DDR4 DP HDMI M.2 USB 3.1 Gen2 B450,ASUS,Motherboard,169.99,50,5%,"Experience next-level performance with the ROG Strix B450-F Gaming, powered by 2nd generation AMD Ryzen AM4 processors. Unlock your systems potential with 5-Way Optimization featuring Fan Xpert 4 while personalizing your build with Aura Sync RGB. Integrated NVMe M.2, gigabit LAN and USB 3.1 Gen2 deliver maximum connectivity speeds."
ASUS Prime Z370-A LGA1151 DDR4 DP HDMI DVI M.2 USB 3.1 Z370 ATX Motherboard with USB 3.1 for 8th Generation Intel Core Processors,ASUS,Motherboard,399.99,70,0%,"ASUS Prime Z370 Series motherboards provide the solid foundation needed for your first build, plus loads of scope to grow with your ambitions. Weve melded all the good stuff thats packed into the latest 8th Generation Intel Core processors with essential ASUS design and engineering, so you benefit from industry-leading technologies - including automated system tuning, comprehensive cooling controls, immersive onboard audio, and support for the ASUS Fan Extension Card. Build smart and easy with ASUS Prime Z370."
CORSAIR Carbide SPEC-05 Mid-Tower Gaming Case,Corsair,Computer Case,59.99,20,10%,"The CORSAIR Carbide Series SPEC-05 is a mid tower ATX case gaming case that combines a stylish and distinctive exterior with excellent cooling potential and a straightforward layout. The stunning edge-to-edge window shows off your build and SPEC-05s roomy interior, able to fit up to five 120mm fans, multiple graphics cards and plentiful storage options. Removable dust filters work to keep your PC clean as the SPEC-05s styling, while dedicated cable routing cutouts and tie downs make building a great-looking system easy. With subtle design and a straightforward layout, SPEC-05 makes your PC simple to build, with distinctive style."
CORSAIR Obsidian 500D RGB SE ATX Mid Tower Case,Corsair,Computer Case,319.99,80,0%,"The Obsidian Series 500D RGB SE is a premium mid-tower enthusiast PC case with aluminum construction, smoked tempered glass panels, and stunning RGB lighting enabled by CORSAIR Commander PRO."
